%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
184.0, -24446.3711317028, -26502.329290190853, 6095.7006926179765, -7877.022966983673, 40088.345418971236, 10524.184766314598, 25388.698326194088, -1875.7583946893687, 15451.87270067605, -1477.8526398959923, 37017.79687616788, 23545.685237131744, 35503.957927698844, 26168.84126291767, 24991.37371675655, 24980.13078929553, 0.154, 1.016, 0.138, 192.0, 2.0, 104.0, 15.5, 96.0, 2.0, 40.0, 0.0, 0.0, 0.0, 1.7074738659885995E9, 0.0, 2024-02-09 11:17:45.988
186.0, -24461.682076654684, -26517.528476420463, 6080.6803203440095, -7874.676033815866, 40240.20317080059, 10531.538490240395, 25456.84879503832, -1826.137521998587, 15729.30255285532, -1413.099636208968, 37525.29323402563, 23650.269049438128, 36111.120714082805, 26441.33137957232, 25244.753091901912, 25251.726836171965, 0.154, 1.016, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074738659890485E9, 0.0, 2024-02-09 11:17:45.989
0.0, -12024.769130321638, -12847.20156755466, 3420.554509229006, -3683.5227827456933, 20262.43749409169, 5604.342294256961, 13166.31742314308, -284.5600586605142, 7758.804590559554, -738.2781193587923, 18632.280067477237, 11776.597711634364, 17962.778265807425, 13137.193100117816, 12560.205168748518, 12589.642416196159, 0.137, 1.026, 0.138, 192.0, 1.5, 96.0, 16.0, 48.0, 2.0, 40.0, 0.0, 0.0, 0.0, 1.7074738661005485E9, 0.0, 2024-02-09 11:17:46.100
2.0, -23979.711410964897, -25639.820175149463, 6880.828068355092, -7393.8229553488445, 40906.44161777993, 11271.649452644522, 26499.62472911176, -471.3982905624259, 17008.381129310266, -630.7662285287653, 37385.81834862451, 23887.935148231405, 36244.582980225445, 26912.617911412468, 25431.188992403626, 25120.320930519218, 0.137, 1.026, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707473866107642E9, 0.0, 2024-02-09 11:17:46.107
4.0, -24067.307897485247, -25693.21849265319, 6812.051750666113, -7374.846324306289, 40704.381847903955, 11218.02761769624, 26387.195454501565, -543.7061838753443, 17116.094185840393, -625.133588926028, 37693.445407562904, 23901.547360604687, 36733.08035529618, 27040.49224144128, 25587.315927423948, 25320.994892238963, 0.137, 1.026, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074738661145794E9, 0.0, 2024-02-09 11:17:46.114
6.0, -24023.498478352845, -25649.900811898806, 6852.463704641307, -7374.779269072923, 40650.80471644458, 11243.799179053209, 26365.536614124372, -530.8315790690874, 16850.644868689164, -662.259836466293, 37191.425227096704, 23834.983865616785, 36068.205364728616, 26817.019500377122, 25324.548819607357, 25069.694229327946, 0.137, 1.026, 0.138, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707473866123612E9, 0.0, 2024-02-09 11:17:46.123
8.0, -24009.595693301642, -25635.93097161424, 6861.225588467788, -7377.997920274487, 40926.04409766723, 11282.110069049606, 26491.846322041314, -458.72485145626683, 17172.26411965658, -595.8081002006651, 37690.11499763906, 23941.579334924143, 36630.95523487988, 27060.385294006504, 25583.02439248853, 25297.793781494354, 0.10200000000000001, 1.03, 0.148, 192.0, 1.5, 24.0, 16.0, 24.0, 2.0, 80.0, 0.0, 0.0, 0.0, 1.70747386613062E9, 0.0, 2024-02-09 11:17:46.130
10.0, -24067.978449818904, -25674.89006219984, 6821.305372870609, -7357.680184564613, 40503.37261001737, 11215.07718742814, 26293.184017322543, -584.2075448283607, 16921.92458175714, -649.8322665491422, 37384.320781746006, 23850.071293124118, 36368.72456893022, 26897.105800760484, 25431.56897205937, 25209.817315318265, 0.10200000000000001, 1.03, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.707473866138634E9, 0.0, 2024-02-09 11:17:46.138
12.0, -23981.99128889934, -25605.35378519938, 6875.418946196908, -7389.151440757685, 40865.06853879315, 11285.909865607007, 26476.624784067248, -477.1873923763505, 17002.569675751885, -621.2667371352599, 37380.40922646633, 23900.742697804297, 36201.91350006026, 26918.51877194867, 25417.286207352427, 25129.574552723712, 0.10200000000000001, 1.03, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074738661466365E9, 0.0, 2024-02-09 11:17:46.146
14.0, -24055.14854850156, -25652.49361425562, 6823.652306038417, -7362.8881410226995, 40661.62296076095, 11246.950775021407, 26357.93702100957, -520.3709626640037, 17114.82013640644, -614.3376963541147, 37694.2500703633, 23917.707671845874, 36696.490549622846, 27055.69142767089, 25577.50351160807, 25348.01815128543, 0.10200000000000001, 1.03, 0.148, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7074738661546216E9, 0.0, 2024-02-09 11:17:46.154
