%OpenBCI Raw EXG Data
%Number of channels = 16
%Sample Rate = 125 Hz
%Board = OpenBCI_GUI$BoardCytonSerialDaisy
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, EXG Channel 4, EXG Channel 5, EXG Channel 6, EXG Channel 7, EXG Channel 8, EXG Channel 9, EXG Channel 10, EXG Channel 11, EXG Channel 12, EXG Channel 13, EXG Channel 14, EXG Channel 15, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Other, Other, Analog Channel 0, Analog Channel 1, Analog Channel 2, Timestamp, Other, Timestamp (Formatted)
34.0, 63285.25403562237, 65661.28917471041, -26106.859875543105, -14775.084230313807, 16517.335655371626, 5287.394557880707, 22852.51293808376, 4810.4977381822755, 41696.28521159711, 47293.87727902857, 37502.78502735913, 50515.70242830544, 22836.46438556485, 27574.140140311738, -9002.321541586107, -3667.563637204604, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833683941474E9, 0.0, 2024-02-02 15:16:08.394
36.0, 63291.62428279213, 65662.51852065546, -26101.54016036274, -14767.417581965636, 16523.772957774756, 5296.536421362927, 22868.20386269139, 4823.171177288435, 41690.92079292784, 47285.78594753575, 37507.27772799465, 50517.91525100652, 22833.737472741304, 27577.068218835382, -8999.907553184934, -3665.9766633482773, 0.0, 0.0, 0.0, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833683941689E9, 0.0, 2024-02-02 15:16:08.394
0.0, 31760.823042490847, 32861.668808659175, -14072.188922427766, -7852.45839982729, 8236.260203869368, 2598.1891272293483, 11362.10696245515, 2391.4801945066683, 20847.181480786978, 23648.570316859525, 18755.751103848354, 25261.09221709874, 11418.925096860541, 13790.288721357432, -4495.941638462739, -1829.490283666883, -0.051000000000000004, 0.487, 0.145, 192.0, 126.0, 104.0, 15.0, 56.0, 4.5, 8.0, 0.0, 0.0, 0.0, 1.706883368472942E9, 0.0, 2024-02-02 15:16:08.472
2.0, 63517.71217795756, 65716.07330037038, -28141.740339009804, -15705.162668843588, 16475.716707195843, 5199.395739960163, 22731.344131391543, 4785.195563458868, 41875.05446375066, 47348.482590732885, 37503.12030352596, 50506.11352993412, 22786.821161129614, 27601.65513773622, -8982.115564598509, -3839.9626421883872, -0.051000000000000004, 0.487, 0.145, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833684789588E9, 0.0, 2024-02-02 15:16:08.478
4.0, 63531.32439033084, 65730.75839647751, -28132.844344716592, -15695.43966000553, 16482.332823554614, 5206.481242952495, 22735.21098318231, 4793.018674018225, 41875.30033293967, 47343.43109648599, 37510.786951874135, 50511.65676255903, 22794.733678666795, 27610.774649473984, -8975.924131384389, -3831.6030897621026, -0.051000000000000004, 0.487, 0.145, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833684871671E9, 0.0, 2024-02-02 15:16:08.487
6.0, 63524.77532920544, 65727.27152434249, -28146.61301930106, -15706.2579043219, 16469.391163514993, 5198.881649837691, 22712.434555582353, 4783.228609946801, 41873.266324194235, 47353.55643672424, 37509.22232976226, 50515.56831783871, 22793.526684466207, 27615.42381232069, -8980.662701208914, -3830.239633350329, -0.051000000000000004, 0.487, 0.145, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833684949942E9, 0.0, 2024-02-02 15:16:08.494
8.0, 63533.58191652083, 65731.54070753345, -28136.0406441737, -15697.183096073044, 16485.395012544992, 5213.276173266909, 22751.237183956764, 4805.446243935376, 41866.270228179725, 47340.57007319571, 37507.16596927238, 50512.95316373744, 22787.84934137456, 27611.065222151905, -8976.929959884877, -3830.887833939533, -0.106, 0.974, 0.294, 192.0, 126.0, 88.0, 15.0, 56.0, 4.5, 24.0, 0.0, 0.0, 0.0, 1.706883368502987E9, 0.0, 2024-02-02 15:16:08.502
10.0, 63527.01050365097, 65727.1150621313, -28145.495432078296, -15706.101442110712, 16475.11321009555, 5206.593001674772, 22733.959285492812, 4795.90204905296, 41868.795975303176, 47351.075393089704, 37509.244681506716, 50517.37880913959, 22796.2312455453, 27612.629844263774, -8970.246788292741, -3827.266851337773, -0.106, 0.974, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833685120237E9, 0.0, 2024-02-02 15:16:08.512
12.0, 63537.91815494516, 65737.55332679192, -28141.740339009804, -15698.457145506996, 16479.02476537523, 5213.075007566811, 22732.998160481235, 4798.830127576605, 41858.648283320465, 47347.029727343295, 37506.96480357228, 50517.334105650676, 22790.240978031277, 27614.105059397825, -8977.198180818341, -3828.5409007717253, -0.106, 0.974, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833685180254E9, 0.0, 2024-02-02 15:16:08.518
14.0, 63543.57314629235, 65744.25885012852, -28137.024120929735, -15690.879904136647, 16485.17149510044, 5218.998219847467, 22747.012704254714, 4807.882584081004, 41855.80961177464, 47348.88492213308, 37514.81026587609, 50525.24662318786, 22796.521818223217, 27623.202219391136, -8973.934826127866, -3823.4670547803707, -0.106, 0.974, 0.294, 192.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7068833685270195E9, 0.0, 2024-02-02 15:16:08.527
